#Compiled by SeeTweet 2.2.5.
#Search performed at 2017-06-10 00:34
#Search location: U.S. 4-location coverage points (Texas, KC, SD, SF)
#Search term: "hot+outside"
day,year,month,date,hour,minute,second,source,city,state,lat,long,uid,tid,center,incl
Sat,2017,6,10,07,03,20,citystate,new york,ny,40.7142691,-74.0059729,4786632880,873435394515369984,0,1
Sat,2017,6,10,06,53,34,citystate,las vegas,nv,36.1749705,-115.137223,43492279,873432936007086080,0,1
Sat,2017,6,10,06,50,58,citystate,shawnee,ok,35.3272928,-96.9253004,3287836807,873432283960692736,0,1
Sat,2017,6,10,06,01,45,failure,NA,NA,NA,NA,736212357584654336,87341989665017446,0,1
Sat,2017,6,10,05,34,28,citystate,las vegas,nv,36.1749705,-115.137223,146650148,873413032449388544,0,1
Sat,2017,6,10,05,26,43,failure,NA,NA,NA,NA,860550394006646784,87341108002601779,0,1
Sat,2017,6,10,04,49,28,citystate,las vegas,nv,36.1749705,-115.137223,146650148,873401706301841408,0,1
Sat,2017,6,10,04,49,00,citystate,phoenix,az,33.4483771,-112.0740373,10025982,873401589700186116,0,1
Sat,2017,6,10,04,49,00,citystate,phoenix,az,33.4483771,-112.0740373,204991039,873401589175795712,0,1
Sat,2017,6,10,04,26,41,citystate,atlanta,ga,33.7489954,-84.3879824,225590635,873395973443203072,0,1
Sat,2017,6,10,03,53,11,citystate,chicago,il,41.850033,-87.6500523,232961686,873387541222883329,0,1
Sat,2017,6,10,03,45,14,failure,NA,NA,NA,NA,827738064264925185,87338554269155737,0,1
Sat,2017,6,10,03,36,08,failure,NA,NA,NA,NA,274354890,87338324947261030,0,1
Sat,2017,6,10,03,14,06,citystate,lancaster,ca,34.6980406,-118.1367393,3231818604,873377708725518336,0,1
Sat,2017,6,10,03,14,01,citystate,kingsport,tn,36.548434,-82.5618186,10016632,873377684352626688,0,1
Sat,2017,6,10,02,59,55,citystate,maricopa,az,33.0581063,-112.0476423,3556928292,873374136122449922,0,1
Sat,2017,6,10,02,34,28,citystate,las vegas,nv,36.1749705,-115.137223,146650148,873367732712083457,0,1
Sat,2017,6,10,02,33,49,failure,NA,NA,NA,NA,846842477885767680,87336756914256691,0,1
Sat,2017,6,10,02,29,08,citystate,phoenix,az,33.4483771,-112.0740373,204991039,873366388491956227,0,1
Sat,2017,6,10,02,29,08,citystate,phoenix,az,33.4483771,-112.0740373,10025982,873366388462702596,0,1
Sat,2017,6,10,02,29,03,citystate,hammond,la,30.5043583,-90.4611995,902743820,873366370020466689,0,1
Sat,2017,6,10,02,21,00,knowncity,st louis mo,unk,38.63,-90.2,2345767754,87336434373527961,0,1
Sat,2017,6,10,02,18,06,citystate,chicago,il,41.850033,-87.6500523,40385239,873363612378836992,0,1
Sat,2017,6,10,02,10,38,failure,NA,NA,NA,NA,2898121262,87336173455538176,0,1
Sat,2017,6,10,02,04,12,citystate,las vegas,nv,36.1749705,-115.137223,4740372618,873360115692208128,0,1
