#Compiled by SeeTweet 2.2.5.
#Search performed at 2017-06-19 14:15
#Search location: U.S. 4-location coverage points (Texas, KC, SD, SF)
#Search term: "eighteen-wheeler"
day,year,month,date,hour,minute,second,source,city,state,lat,long,uid,tid,center,incl
Mon,2017,6,19,14,13,27,citystate,birmingham,al,33.5206608,-86.80249,706667400687697920,876805129055477761,0,1
Mon,2017,6,19,04,35,32,citystate,brooklyn,ny,40.6501038,-73.9495823,17925999,876659689660063744,0,1
Sun,2017,6,18,20,04,11,citystate,slaton,tx,33.4373113,-101.6434915,2518146132,876531005527609344,0,1
Sat,2017,6,17,23,37,15,citystate,north las vegas,nv,36.1988592,-115.1175013,3045754034,876222238638432256,0,1
Sat,2017,6,17,18,06,34,failure,NA,NA,NA,NA,726478287510233088,87613902029162496,0,1
Sat,2017,6,17,05,18,26,citystate,brooklyn,ny,40.6501038,-73.9495823,2871859252,875945710763610112,0,1
Fri,2017,6,16,14,49,25,failure,NA,NA,NA,NA,3583373181,87572701745871667,0,1
Thu,2017,6,15,23,57,49,failure,NA,NA,NA,NA,806375406215512065,87550263733178368,0,1
Thu,2017,6,15,22,59,00,citystate,hot springs village,ar,34.6720356,-92.9987886,194794933,875487836476231682,0,1
Wed,2017,6,14,07,49,26,knowncity,la,unk,34.05,-118.25,28906025,87489654628178329,0,1
Tue,2017,6,13,20,40,44,citystate,chico,ca,39.7284945,-121.8374777,1880597707,874728264115175424,0,1
Tue,2017,6,13,14,42,15,knowncity,la,unk,34.05,-118.25,28906025,87463804851178700,0,1
Tue,2017,6,13,12,14,38,failure,NA,NA,NA,NA,346234954,87460090199404544,0,1
Mon,2017,6,12,14,01,40,citystate,brevard,nc,35.2334472,-82.7342919,1530981678,874265449713807360,0,1
Mon,2017,6,12,13,29,55,citystate,benson,mn,45.3149604,-95.6000349,2521968735,874257458633551874,0,1
Sun,2017,6,11,19,00,58,citystate,memphis,tn,35.1495343,-90.0489801,277592321,873978381976600577,0,1
Sun,2017,6,11,11,27,28,citystate,hutto,tx,30.5426995,-97.5466702,586194892,873864252557275136,0,1
Sun,2017,6,11,04,43,49,knowncity,la,unk,34.05,-118.25,28906025,87376267272611430,0,1
