#Compiled by SeeTweet 2.2.5.
#Search performed at 2017-06-23 19:43
#Search location: U.S. 4-location coverage points (Texas, KC, SD, SF)
#Search term: "tractor+trailer"
day,year,month,date,hour,minute,second,source,city,state,lat,long,uid,tid,center,incl
Sat,2017,6,24,02,09,52,failure,NA,NA,NA,NA,16893227,87843497294352384,0,1
Sat,2017,6,24,02,06,37,failure,NA,NA,NA,NA,78110149,87843415508802355,0,1
Sat,2017,6,24,02,04,49,failure,NA,NA,NA,NA,2910312879,87843370025345433,0,1
Sat,2017,6,24,02,00,38,citystate,harrisburg,pa,40.0556669,-75.025171,92304777,878432650083565568,0,1
Sat,2017,6,24,01,59,17,failure,NA,NA,NA,NA,2326292192,87843230785362739,0,1
Sat,2017,6,24,01,52,12,citystate,martinsburg,wv,39.4562099,-77.9638869,822997615310761985,878430525156970497,0,1
Sat,2017,6,24,00,54,10,citystate,york,pa,39.9625984,-76.727745,8935172,878415919915175936,0,1
Sat,2017,6,24,00,54,07,citystate,york,pa,39.9625984,-76.727745,2458535432,878415908921888768,0,1
Sat,2017,6,24,00,48,16,citystate,charleston,wv,38.3498195,-81.6326235,32444366,878414435060256768,0,1
Sat,2017,6,24,00,43,11,citystate,cookeville,tn,36.162839,-85.5016423,431879598,878413158045626368,0,1
Sat,2017,6,24,00,38,52,failure,NA,NA,NA,NA,108124138,87841207058008064,0,1
Sat,2017,6,24,00,14,16,citystate,philadelphia,pa,39.952335,-75.163789,211200869,878405879464374272,0,1
Sat,2017,6,24,00,13,43,citystate,wyomissing,pa,40.329537,-75.9652117,33065581,878405743296352258,0,1
Fri,2017,6,23,23,52,33,failure,NA,NA,NA,NA,466600845,87840041486093107,0,1
Fri,2017,6,23,23,36,18,failure,NA,NA,NA,NA,2589699211,87839632528008806,0,1
Fri,2017,6,23,23,35,02,citystate,franklin,tn,35.9250637,-86.86889,49222644,878396007997775874,0,1
Fri,2017,6,23,23,26,37,citystate,youngstown,oh,41.0997803,-80.6495194,14076171,878393888301600769,0,1
Fri,2017,6,23,23,19,53,failure,NA,NA,NA,NA,3291234933,87839219402928537,0,1
Fri,2017,6,23,23,14,17,citystate,philadelphia,pa,39.952335,-75.163789,181727810,878390784571191298,0,1
Fri,2017,6,23,22,45,06,failure,NA,NA,NA,NA,15922073,87838344261819596,0,1
Fri,2017,6,23,22,35,51,citystate,storrs,ct,41.8084314,-72.2495231,254360400,878381114204856320,0,1
Fri,2017,6,23,22,28,33,failure,NA,NA,NA,NA,78110149,87837927669681356,0,1
Fri,2017,6,23,22,26,40,failure,NA,NA,NA,NA,78110149,87837880020308377,0,1
Fri,2017,6,23,22,15,51,failure,NA,NA,NA,NA,17063785,87837608000395673,0,1
Fri,2017,6,23,22,15,19,geo,unk,unk,43.0730517,-89.4012302,24603041,87837594625166540,0,1
Fri,2017,6,23,22,14,36,failure,NA,NA,NA,NA,78110149,87837576520894873,0,1
Fri,2017,6,23,22,11,41,failure,NA,NA,NA,NA,15736329,87837503255619993,0,1
Fri,2017,6,23,22,06,10,geo,unk,unk,39.0286093,-96.8313978,149399057,87837364134741606,0,1
Fri,2017,6,23,22,04,16,citystate,tampa,fl,27.9475216,-82.4584279,2166909991,878373164354478080,0,1
Fri,2017,6,23,22,00,39,failure,NA,NA,NA,NA,808038174387748865,87837225371248230,0,1
Fri,2017,6,23,21,59,08,failure,NA,NA,NA,NA,2589699211,87837187252132249,0,1
Fri,2017,6,23,21,56,35,failure,NA,NA,NA,NA,83097520,87837123059576832,0,1
Fri,2017,6,23,21,53,46,citystate,atlanta,ga,33.7489954,-84.3879824,25242755,878370520328151040,0,1
Fri,2017,6,23,21,51,32,citystate,youngstown,oh,41.0997803,-80.6495194,1924853184,878369960971694083,0,1
Fri,2017,6,23,21,50,41,citystate,cookeville,tn,36.162839,-85.5016423,3353865987,878369748354052100,0,1
Fri,2017,6,23,21,48,41,knowncity,new haven ct usa,unk,41.31,-72.92,14262811,87836924120816025,0,1
Fri,2017,6,23,21,37,36,geo,unk,unk,38.0293059,-78.4766781,154423738,87836645327503360,0,1
Fri,2017,6,23,21,37,09,citystate,hartford,ct,41.7637111,-72.6850932,386034224,878366338879602688,0,1
Fri,2017,6,23,21,29,30,failure,NA,NA,NA,NA,66344113,87836441744381132,0,1
Fri,2017,6,23,21,09,54,failure,NA,NA,NA,NA,1394875741,87835948328988262,0,1
Fri,2017,6,23,21,07,29,citystate,chambersburg,pa,39.9375911,-77.6611022,21300851,878358873106554880,0,1
Fri,2017,6,23,21,07,24,citystate,waynesboro,pa,39.755927,-77.5777692,714957404,878358855020892160,0,1
Fri,2017,6,23,21,01,41,citystate,augusta,ga,33.4709702,-81.9748379,1668500347,878357415573340160,0,1
Fri,2017,6,23,20,56,42,citystate,youngstown,oh,41.0997803,-80.6495194,282366405,878356159203164161,0,1
Fri,2017,6,23,20,54,02,citystate,augusta,ga,33.4709702,-81.9748379,874715708252459008,878355490727641088,0,1
Fri,2017,6,23,20,51,56,citystate,augusta,ga,33.4709702,-81.9748379,874715708252459008,878354959938469888,0,1
Fri,2017,6,23,20,51,17,citystate,augusta,ga,33.4709702,-81.9748379,1668500347,878354797837070336,0,1
Fri,2017,6,23,20,44,07,geo,unk,unk,39.7042123,-86.3994387,23501237,87835299290624819,0,1
Fri,2017,6,23,20,36,26,citystate,abingdon,va,36.7098335,-81.9773482,45639349,878351062159118336,0,1
Fri,2017,6,23,20,34,41,citystate,augusta,ga,33.4709702,-81.9748379,2182479416,878350621270736898,0,1
Fri,2017,6,23,20,34,24,citystate,augusta,ga,33.4709702,-81.9748379,107129013,878350548893925376,0,1
Fri,2017,6,23,20,34,11,citystate,augusta,ga,33.4709702,-81.9748379,107132639,878350492576907264,0,1
Fri,2017,6,23,20,33,53,citystate,augusta,ga,33.4709702,-81.9748379,348538221,878350420606951425,0,1
Fri,2017,6,23,20,33,32,citystate,augusta,ga,33.4709702,-81.9748379,107174094,878350332002095104,0,1
Fri,2017,6,23,20,33,01,citystate,augusta,ga,33.4709702,-81.9748379,107079055,878350201215254528,0,1
Fri,2017,6,23,20,32,17,knowncity,nyc,unk,40.72,-74,79162897,87835001428793344,0,1
Fri,2017,6,23,20,30,24,geo,unk,unk,40.0729157,-75.1691305,23498566,87834954138003865,0,1
Fri,2017,6,23,20,30,13,knowncity,new haven ct usa,unk,41.31,-72.92,14262811,87834949495323443,0,1
Fri,2017,6,23,20,23,35,knowncity,nyc,unk,40.72,-74,718810061678723072,87834782692064870,0,1
Fri,2017,6,23,20,20,02,failure,NA,NA,NA,NA,78117854,87834693189790105,0,1
Fri,2017,6,23,20,16,36,geo,unk,unk,41.744641,-72.661932,95698481,87834607148687360,0,1
Fri,2017,6,23,20,16,36,geo,unk,unk,41.744641,-72.661932,97036677,87834607134018355,0,1
Fri,2017,6,23,20,16,20,geo,unk,unk,39.0704777,-95.6352801,149399057,87834600201230745,0,1
