pid,robot,inference,human_tasks,robot_tasks,both_tasks,total_tasks
00d648c5,fixed,oracle,15,15,9,39
00d648c5,predictive,oracle,23,15,1,39
00d648c5,reactive,oracle,18,17,4,39
01276036,fixed,oracle,25,11,3,39
01276036,predictive,oracle,25,14,0,39
01276036,reactive,oracle,26,9,4,39
04064777,fixed,oracle,19,15,5,39
04064777,predictive,oracle,15,23,1,39
04064777,reactive,oracle,17,18,4,39
05dd7d52,fixed,oracle,22,9,8,39
05dd7d52,predictive,oracle,30,8,1,39
05dd7d52,reactive,oracle,21,12,6,39
06e915e6,fixed,bayesian,18,17,4,39
06e915e6,predictive,bayesian,14,22,3,39
06e915e6,reactive,bayesian,13,20,6,39
082325fb,fixed,bayesian,19,13,7,39
082325fb,predictive,bayesian,20,13,6,39
082325fb,reactive,bayesian,20,6,13,39
08fb22ea,fixed,bayesian,20,10,9,39
08fb22ea,predictive,bayesian,20,14,5,39
08fb22ea,reactive,bayesian,21,12,6,39
0ae54918,fixed,oracle,23,8,8,39
0ae54918,predictive,oracle,20,16,3,39
0ae54918,reactive,oracle,19,14,6,39
0bd6e3e3,fixed,oracle,19,12,8,39
0bd6e3e3,predictive,oracle,21,18,0,39
0bd6e3e3,reactive,oracle,18,13,8,39
0c4ad375,fixed,oracle,20,14,5,39
0c4ad375,predictive,oracle,19,19,1,39
0c4ad375,reactive,oracle,17,15,7,39
0c68ebe2,fixed,oracle,23,9,7,39
0c68ebe2,predictive,oracle,25,14,0,39
0c68ebe2,reactive,oracle,21,10,8,39
0f4f145f,fixed,oracle,23,7,9,39
0f4f145f,predictive,oracle,25,14,0,39
0f4f145f,reactive,oracle,23,9,7,39
1084bc56,fixed,bayesian,19,18,2,39
1084bc56,predictive,bayesian,16,20,3,39
1084bc56,reactive,bayesian,17,17,5,39
124ef0f1,fixed,bayesian,24,10,5,39
124ef0f1,predictive,bayesian,20,13,6,39
124ef0f1,reactive,bayesian,24,8,7,39
14cf9e34,fixed,bayesian,20,12,7,39
14cf9e34,predictive,bayesian,16,21,2,39
14cf9e34,reactive,bayesian,20,19,0,39
15f2ff09,fixed,oracle,18,9,12,39
15f2ff09,predictive,oracle,30,8,1,39
15f2ff09,reactive,oracle,18,11,10,39
1a626ef7,fixed,oracle,19,13,7,39
1a626ef7,predictive,oracle,19,20,0,39
1a626ef7,reactive,oracle,19,18,2,39
1abcd697,fixed,oracle,18,15,6,39
1abcd697,predictive,oracle,15,22,2,39
1abcd697,reactive,oracle,18,18,3,39
1b9c5ecb,fixed,bayesian,18,14,7,39
1b9c5ecb,predictive,bayesian,17,21,1,39
1b9c5ecb,reactive,bayesian,19,18,2,39
1c911f53,fixed,bayesian,17,12,10,39
1c911f53,predictive,bayesian,19,17,3,39
1c911f53,reactive,bayesian,21,13,5,39
1de9dfcc,fixed,bayesian,24,6,9,39
1de9dfcc,predictive,bayesian,21,12,6,39
1de9dfcc,reactive,bayesian,20,11,8,39
1decec85,fixed,oracle,19,12,8,39
1decec85,predictive,oracle,31,8,0,39
1decec85,reactive,oracle,20,9,10,39
1fa13eeb,fixed,bayesian,19,14,6,39
1fa13eeb,predictive,bayesian,18,16,5,39
1fa13eeb,reactive,bayesian,18,12,9,39
2035e715,fixed,bayesian,20,9,10,39
2035e715,predictive,bayesian,23,13,3,39
2035e715,reactive,bayesian,23,15,1,39
20550449,fixed,oracle,19,14,6,39
20550449,predictive,oracle,22,15,2,39
20550449,reactive,oracle,18,11,10,39
20e1dde5,fixed,oracle,23,10,6,39
20e1dde5,predictive,oracle,26,13,0,39
20e1dde5,reactive,oracle,24,10,5,39
2181fd0d,fixed,oracle,20,12,7,39
2181fd0d,predictive,oracle,30,8,1,39
2181fd0d,reactive,oracle,17,11,11,39
2253269d,fixed,bayesian,22,10,7,39
2253269d,predictive,bayesian,19,16,4,39
2253269d,reactive,bayesian,20,12,7,39
23a9167b,fixed,oracle,19,9,11,39
23a9167b,predictive,oracle,25,14,0,39
23a9167b,reactive,oracle,23,11,5,39
251e95df,fixed,oracle,19,9,11,39
251e95df,predictive,oracle,23,16,0,39
251e95df,reactive,oracle,24,10,5,39
26876b22,fixed,oracle,21,8,10,39
26876b22,predictive,oracle,27,10,2,39
26876b22,reactive,oracle,26,8,5,39
27d1bcff,fixed,oracle,22,8,9,39
27d1bcff,predictive,oracle,26,13,0,39
27d1bcff,reactive,oracle,21,13,5,39
2848a93e,fixed,oracle,22,8,9,39
2848a93e,predictive,oracle,17,21,1,39
2848a93e,reactive,oracle,17,17,5,39
2cec40f8,fixed,oracle,22,10,7,39
2cec40f8,predictive,oracle,25,14,0,39
